ID,sta_seq,collect_date,chemparameter,value,uom,station_type,duplicate,name,ylat,xlong,sbasn,major,mbasn
153,14137,10/10/2012,Alkalinity,15,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
154,14137,10/10/2012,Total Phosphorus,0.007,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
155,14137,10/10/2012,Hardness,24.9,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
156,14137,10/10/2012,Ammonia,0.013,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
157,14137,10/10/2012,Turbidity,0.4,None,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
158,14137,10/10/2012,Chloride,20.3,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
159,14137,10/10/2012,Magnesium,2090,ppb,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
160,14137,10/10/2012,Nitrate,0.026,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
161,14146,7/30/2013,pH,8.3,None,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
162,14146,7/30/2013,Turbidity,6.4,None,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
163,14146,7/30/2013,Ammonia,0.018,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
164,14146,9/17/2013,Nitrate,0.518,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
165,14146,7/30/2013,Total Solids,196,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
166,14146,7/30/2013,Ortho Phosphate,0.02,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
167,14146,9/17/2013,Calcium,20900,ppb,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
168,14146,9/17/2013,Total Phosphorus,0.019,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
169,14146,7/30/2013,Nitrate/Nitrite,0.672,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
170,14146,7/30/2013,Nitrite,NA,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
171,14146,9/17/2013,pH,8.4,None,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
172,14146,9/17/2013,Ammonia,0.003,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
173,14146,9/17/2013,Alkalinity,57,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
174,14146,7/30/2013,Hardness,101,ppm,River/Stream,0,Branford River,41.3072,-72.7648,5111,South Central Coast,5
